event_index,n_gen_triplet,leading_truth_triplet_slot,leading_truth_triplet_mass
1636,2,1,186.038684
1637,1,1,168.691132
1638,0,,
1639,1,0,187.734298
1640,1,0,267.732306
1641,0,,
1642,0,,
1643,1,1,161.931912
1644,0,,
1645,0,,
1646,0,,
1647,0,,
1648,1,1,166.629753
1649,0,,
1650,0,,
1651,1,0,164.466155
1652,0,,
1653,1,0,186.404484
1654,0,,
1655,1,1,194.741124
1656,0,,
1657,1,0,159.516834
1658,1,0,166.243775
1659,1,1,182.264048
1660,0,,
1661,2,1,172.449405
1662,1,0,175.682897
1663,1,0,124.498892
1664,1,1,135.658169
1665,0,,
1666,0,,
1667,0,,
1668,0,,
1669,0,,
1670,0,,
1671,0,,
1672,2,1,183.15882
1673,0,,
1674,0,,
1675,1,0,146.440013
1676,1,0,164.666684
1677,1,0,169.832548
1678,0,,
1679,0,,
1680,0,,
1681,0,,
1682,0,,
1683,1,0,153.944079
1684,2,1,193.849092
1685,2,1,197.494533
1686,1,0,172.81647
1687,0,,
1688,0,,
1689,1,1,145.570514
1690,0,,
1691,0,,
1692,0,,
1693,1,1,170.348429
1694,0,,
1695,0,,
1696,2,1,157.890475
1697,1,1,136.459205
1698,0,,
1699,0,,
1700,1,0,168.630582
1701,0,,
1702,0,,
1703,0,,
1704,1,1,166.67274
1705,1,1,304.272095
1706,0,,
1707,0,,
1708,0,,
1709,1,1,161.490401
1710,1,0,163.047341
1711,0,,
1712,0,,
1713,1,1,170.211441
1714,1,1,166.250865
1715,0,,
1716,1,0,197.076065
1717,0,,
1718,0,,
1719,1,0,168.751647
1720,1,1,154.978474
1721,0,,
1722,0,,
1723,1,1,198.538579
1724,0,,
1725,0,,
1726,0,,
1727,2,1,149.673718
1728,0,,
1729,1,0,150.378086
1730,0,,
1731,1,0,156.92803
1732,0,,
1733,0,,
1734,1,0,175.629949
1735,0,,
1736,0,,
1737,0,,
1738,0,,
1739,0,,
1740,1,0,141.974712
1741,0,,
1742,1,0,171.337168
1743,0,,
1744,0,,
1745,0,,
1746,0,,
1747,1,0,173.940366
1748,0,,
1749,0,,
1750,1,1,165.656218
1751,1,1,172.336243
1752,1,1,235.003412
1753,1,0,171.138028
1754,1,1,193.507341
1755,0,,
1756,1,0,230.505899
1757,1,0,165.304716
1758,0,,
1759,1,0,166.953145
1760,1,0,139.7491
1761,0,,
1762,0,,
1763,0,,
1764,0,,
1765,1,0,225.749105
1766,0,,
1767,0,,
1768,2,1,158.031806
1769,0,,
1770,1,0,174.942742
1771,0,,
1772,0,,
1773,0,,
1774,0,,
1775,1,0,161.476393
1776,1,0,173.981894
1777,1,0,177.331453
1778,0,,
1779,1,1,178.04763
1780,0,,
1781,0,,
1782,1,0,165.46094
1783,1,0,170.280466
1784,0,,
1785,1,0,148.096373
1786,0,,
1787,0,,
1788,0,,
1789,0,,
1790,1,1,156.975379
1791,1,1,194.223286
1792,0,,
1793,0,,
1794,0,,
1795,1,1,171.300636
1796,0,,
1797,0,,
1798,0,,
1799,0,,
1800,0,,
1801,2,1,177.15178
1802,0,,
1803,0,,
1804,0,,
1805,1,0,137.324069
1806,1,0,170.85686
1807,0,,
1808,1,0,160.195546
1809,1,1,166.370926
1810,0,,
1811,0,,
1812,1,1,168.64578
1813,0,,
1814,1,1,173.47955
1815,0,,
1816,0,,
1817,1,0,156.255956
1818,0,,
1819,0,,
1820,0,,
1821,1,0,170.743669
1822,0,,
1823,0,,
1824,0,,
1825,1,0,293.644551
1826,1,1,161.76363
1827,1,1,150.333159
1828,1,0,158.600693
1829,0,,
1830,0,,
1831,0,,
1832,0,,
1833,1,0,208.870202
1834,0,,
1835,0,,
1836,1,1,194.898124
1837,1,0,152.63355
1838,0,,
1839,0,,
1840,0,,
1841,0,,
1842,1,0,258.452128
1843,1,0,212.029849
1844,0,,
1845,1,0,183.323896
1846,1,0,352.406037
1847,0,,
1848,1,1,161.697438
1849,1,1,160.724292
1850,1,1,180.07802
1851,1,0,145.867574
1852,0,,
1853,1,1,169.483639
1854,0,,
1855,0,,
1856,1,0,217.767246
1857,0,,
1858,1,0,152.187263
1859,1,1,151.980242
1860,0,,
1861,1,0,115.742676
1862,1,1,189.481088
1863,0,,
1864,1,1,130.903551
1865,1,0,160.170536
1866,1,0,152.757836
1867,1,1,153.917286
1868,0,,
1869,0,,
1870,1,1,107.660985
1871,0,,
1872,0,,
1873,1,1,162.676305
1874,0,,
1875,0,,
1876,0,,
1877,0,,
1878,0,,
1879,1,1,154.011378
1880,0,,
1881,1,1,113.641533
1882,1,1,160.597389
1883,0,,
1884,1,1,166.842295
1885,1,0,144.968274
1886,1,0,126.911799
1887,0,,
1888,0,,
1889,1,0,209.113197
1890,0,,
1891,0,,
1892,2,1,166.614357
1893,1,1,163.431351
1894,1,1,176.854393
1895,0,,
1896,0,,
1897,1,1,178.734229
1898,1,1,180.27265
1899,0,,
1900,2,1,157.48028
1901,0,,
1902,0,,
1903,0,,
1904,1,1,163.857746
1905,0,,
1906,0,,
1907,1,1,175.665308
1908,1,1,220.432986
1909,0,,
1910,0,,
1911,2,0,161.124836
1912,1,0,124.09983
1913,0,,
1914,0,,
1915,0,,
1916,0,,
1917,1,0,146.463581
1918,1,0,171.68449
1919,0,,
1920,0,,
1921,1,0,171.514976
1922,1,1,158.579583
1923,1,1,292.180905
1924,1,0,178.875102
1925,0,,
1926,0,,
1927,1,0,214.622236
1928,0,,
1929,0,,
1930,0,,
1931,0,,
1932,0,,
1933,2,1,168.812878
1934,0,,
1935,0,,
1936,1,0,146.031887
1937,0,,
1938,1,0,161.190266
1939,1,1,188.455038
1940,0,,
1941,1,0,155.87759
1942,1,1,170.199122
1943,0,,
1944,1,1,186.381345
1945,0,,
1946,0,,
1947,1,1,128.964307
1948,0,,
1949,0,,
1950,0,,
1951,2,1,172.390329
1952,1,1,163.176464
1953,0,,
1954,0,,
1955,1,0,308.622283
1956,0,,
1957,0,,
1958,0,,
1959,1,1,179.905277
1960,1,1,181.13717
1961,1,0,161.963311
1962,1,0,123.576635
1963,0,,
1964,0,,
1965,0,,
1966,1,0,172.683716
1967,1,0,156.553713
1968,1,0,145.904676
1969,0,,
1970,0,,
1971,0,,
1972,0,,
1973,1,0,175.907923
1974,1,0,152.670876
1975,0,,
1976,0,,
1977,0,,
1978,0,,
1979,0,,
1980,0,,
1981,0,,
1982,1,1,226.469223
1983,0,,
1984,0,,
1985,0,,
1986,0,,
1987,0,,
1988,0,,
1989,0,,
1990,1,0,156.5171
1991,0,,
1992,1,0,148.786126
1993,0,,
1994,0,,
1995,0,,
1996,0,,
1997,0,,
1998,0,,
1999,1,1,235.273919
2000,0,,
2001,1,1,136.306754
2002,0,,
2003,2,0,158.253408
2004,0,,
2005,0,,
2006,0,,
2007,0,,
2008,0,,
2009,0,,
2010,1,1,185.868948
2011,1,1,170.130171
2012,0,,
2013,0,,
2014,0,,
2015,0,,
2016,0,,
2017,1,1,169.91611
2018,0,,
2019,1,1,154.61854
2020,0,,
2021,2,0,168.68033
2022,1,1,138.231179
2023,2,0,167.004173
2024,0,,
2025,0,,
2026,1,0,151.176637
2027,1,1,180.931382
2028,0,,
2029,1,0,161.503355
2030,0,,
2031,1,1,174.937929
2032,2,0,157.389235
2033,0,,
2034,1,0,183.151845
2035,1,1,143.261884
2036,0,,
2037,0,,
2038,1,1,244.669773
2039,0,,
2040,1,1,172.366432
2041,1,1,150.125799
2042,1,0,144.893196
2043,1,0,165.669336
2044,0,,
2045,0,,
2046,0,,
2047,0,,
2048,0,,
2049,0,,
2050,0,,
2051,0,,
2052,1,0,160.366272
2053,0,,
2054,1,0,195.179272
2055,0,,
2056,0,,
2057,0,,
2058,1,0,169.666312
2059,0,,
2060,0,,
2061,0,,
2062,1,0,167.031998
2063,0,,
2064,0,,
2065,1,1,165.437297
2066,0,,
2067,0,,
2068,0,,
2069,1,0,162.490871
2070,0,,
2071,0,,
2072,1,0,150.124843
2073,0,,
2074,1,0,251.142823
2075,1,0,205.663496
2076,1,0,183.96978
2077,1,0,166.138339
2078,0,,
2079,0,,
2080,0,,
2081,1,0,167.388112
2082,0,,
2083,1,1,180.308532
2084,0,,
2085,0,,
2086,0,,
2087,0,,
2088,1,0,156.753696
2089,2,1,176.601512
2090,0,,
2091,0,,
2092,1,1,162.383765
2093,0,,
2094,0,,
2095,1,0,169.003264
2096,1,1,173.631135
2097,1,0,168.120068
2098,0,,
2099,1,1,142.36313
2100,0,,
2101,0,,
2102,0,,
2103,1,0,165.805954
2104,0,,
2105,0,,
2106,0,,
2107,0,,
2108,0,,
2109,0,,
2110,0,,
2111,0,,
2112,0,,
2113,0,,
2114,1,0,141.168785
2115,0,,
2116,0,,
2117,0,,
2118,0,,
2119,0,,
2120,0,,
2121,0,,
2122,1,1,260.490889
2123,0,,
2124,0,,
2125,0,,
2126,0,,
2127,1,0,211.52643
2128,1,1,198.138449
2129,0,,
2130,1,0,167.748038
2131,0,,
2132,0,,
2133,1,0,147.674829
2134,0,,
2135,1,0,305.203482
2136,0,,
2137,1,0,146.999855
2138,0,,
2139,1,1,154.295725
2140,0,,
2141,1,0,157.056787
2142,0,,
2143,0,,
2144,1,0,203.647273
2145,0,,
2146,1,1,168.696264
2147,1,0,158.460241
2148,1,1,166.625901
2149,0,,
2150,0,,
2151,0,,
2152,1,1,122.428513
2153,0,,
2154,0,,
2155,0,,
2156,0,,
2157,1,0,160.495005
2158,0,,
2159,0,,
2160,1,0,165.646281
2161,0,,
2162,1,1,181.607888
2163,0,,
2164,1,0,137.849704
2165,2,1,171.144738
2166,1,1,173.282643
2167,1,1,143.630846
2168,1,0,164.812135
2169,1,0,170.019181
2170,0,,
2171,1,0,169.757065
2172,0,,
2173,1,0,199.279764
2174,0,,
2175,1,0,153.52874
2176,0,,
2177,1,1,177.214974
2178,0,,
2179,0,,
2180,1,0,264.336951
2181,0,,
2182,0,,
2183,0,,
2184,1,1,119.185392
2185,0,,
2186,1,0,226.123571
2187,1,0,186.361001
2188,0,,
2189,0,,
2190,1,0,249.665547
2191,0,,
2192,0,,
2193,0,,
2194,0,,
2195,1,1,160.688322
2196,1,1,172.05275
2197,0,,
2198,0,,
2199,0,,
2200,1,0,134.790003
2201,1,1,156.254576
2202,0,,
2203,0,,
2204,0,,
2205,1,1,173.838451
2206,1,0,169.019325
2207,0,,
2208,0,,
2209,0,,
2210,1,0,145.994053
2211,0,,
2212,0,,
2213,1,1,158.448728
2214,0,,
2215,0,,
2216,0,,
2217,0,,
2218,0,,
2219,1,1,142.83692
2220,0,,
2221,1,0,222.563727
2222,0,,
2223,0,,
2224,2,1,184.273024
2225,1,0,143.006787
2226,0,,
2227,0,,
2228,0,,
2229,1,1,147.190266
2230,0,,
2231,0,,
2232,1,1,169.720905
2233,0,,
2234,0,,
2235,1,0,159.622458
2236,1,0,168.237052
2237,1,1,152.196573
2238,0,,
2239,0,,
2240,0,,
2241,0,,
2242,1,0,179.464887
2243,1,0,153.907562
2244,2,0,146.744084
2245,1,1,151.067325
2246,0,,
2247,0,,
2248,0,,
2249,0,,
2250,0,,
2251,0,,
2252,0,,
2253,0,,
2254,1,0,167.061181
2255,2,0,168.748898
2256,0,,
2257,0,,
2258,1,1,167.337257
2259,0,,
2260,0,,
2261,0,,
2262,0,,
2263,0,,
2264,0,,
2265,1,0,130.49425
2266,1,1,160.822877
2267,0,,
2268,0,,
2269,1,0,211.878008
2270,1,0,157.924776
2271,1,1,155.295229
2272,0,,
2273,1,0,177.218511
2274,1,0,150.877037
2275,0,,
2276,1,0,173.005482
2277,1,0,149.260231
2278,0,,
2279,0,,
2280,1,1,166.203511
2281,1,0,140.923772
2282,2,1,170.908452
2283,0,,
2284,1,0,144.446965
2285,0,,
2286,0,,
2287,0,,
2288,0,,
2289,0,,
2290,1,1,153.319116
2291,1,1,161.72946
2292,0,,
2293,0,,
2294,1,1,101.708413
2295,0,,
2296,1,1,166.945561
2297,0,,
2298,0,,
2299,1,0,167.466021
2300,0,,
2301,0,,
2302,1,1,167.788316
2303,0,,
2304,1,1,158.725565
2305,1,0,177.328163
2306,2,0,150.742837
2307,0,,
2308,0,,
2309,0,,
2310,0,,
2311,0,,
2312,0,,
2313,1,0,262.369773
2314,0,,
2315,1,1,131.566352
2316,0,,
2317,0,,
2318,0,,
2319,0,,
2320,0,,
2321,0,,
2322,0,,
2323,1,1,173.040878
2324,1,1,247.522458
2325,1,1,167.91353
2326,2,1,161.282922
2327,0,,
2328,0,,
2329,0,,
2330,0,,
2331,2,1,162.150659
2332,0,,
2333,0,,
2334,1,1,163.543845
2335,1,1,171.513505
2336,1,1,174.005952
2337,0,,
2338,0,,
2339,0,,
2340,1,0,171.032617
2341,0,,
2342,1,0,254.594652
2343,0,,
2344,1,1,185.063358
2345,1,0,134.305783
2346,1,0,137.395892
2347,2,0,169.873014
2348,1,1,146.422836
2349,0,,
2350,0,,
2351,0,,
2352,0,,
2353,1,1,163.620912
2354,1,0,152.578556
2355,0,,
2356,1,1,122.049099
2357,0,,
2358,0,,
2359,1,0,231.185157
2360,0,,
2361,2,1,228.698254
2362,0,,
2363,0,,
2364,1,1,173.521579
2365,0,,
2366,1,0,137.097357
2367,1,1,161.906684
2368,0,,
2369,0,,
2370,0,,
2371,1,0,181.647874
2372,0,,
2373,0,,
2374,1,0,173.739145
2375,0,,
2376,0,,
2377,1,1,162.430387
2378,0,,
2379,1,1,176.069112
2380,0,,
2381,0,,
2382,1,0,144.015016
2383,1,1,144.256668
2384,2,1,170.580909
2385,0,,
2386,1,1,149.124619
2387,1,0,180.724966
2388,1,0,173.674775
2389,2,1,172.91018
2390,0,,
2391,0,,
2392,0,,
2393,1,0,131.530955
2394,0,,
2395,1,0,165.47672
2396,0,,
2397,0,,
2398,0,,
2399,0,,
2400,1,0,168.694516
2401,1,0,150.9012
2402,2,0,147.079572
2403,0,,
2404,0,,
2405,0,,
2406,1,1,176.73537
2407,1,1,197.697955
2408,0,,
2409,1,1,202.114729
2410,0,,
2411,1,1,153.350261
2412,0,,
2413,2,1,171.838342
2414,0,,
2415,0,,
2416,0,,
2417,0,,
2418,2,1,148.405483
2419,0,,
2420,0,,
2421,1,0,191.217793
2422,0,,
2423,0,,
2424,1,1,164.795291
2425,0,,
2426,0,,
2427,1,1,153.701301
2428,0,,
2429,0,,
2430,0,,
2431,1,1,154.877846
2432,0,,
2433,0,,
2434,0,,
2435,0,,
2436,0,,
2437,0,,
2438,1,0,161.313466
2439,0,,
2440,0,,
2441,1,1,157.958803
2442,1,0,164.875781
2443,1,1,215.899415
2444,0,,
2445,0,,
2446,0,,
2447,0,,
2448,0,,
2449,0,,
2450,1,1,169.025312
2451,1,1,172.103279
2452,0,,
2453,1,0,144.728128
2454,1,0,205.92278
2455,0,,
2456,1,1,188.586816
2457,1,0,181.468545
2458,0,,
2459,0,,
2460,1,0,175.005443
2461,1,0,234.613119
2462,0,,
2463,0,,
2464,0,,
2465,0,,
2466,0,,
2467,1,1,183.708936
2468,0,,
2469,0,,
2470,0,,
2471,0,,
2472,2,1,172.336387
2473,0,,
2474,0,,
2475,1,1,151.245543
2476,1,1,172.1113
2477,0,,
2478,1,0,169.980281
2479,1,0,174.238293
2480,0,,
2481,1,0,155.160476
2482,0,,
2483,0,,
2484,0,,
2485,1,0,197.458021
2486,0,,
2487,1,1,150.678008
2488,1,1,171.31595
2489,0,,
2490,0,,
2491,0,,
2492,1,0,170.130159
2493,0,,
2494,1,1,159.86633
2495,1,0,157.112001
2496,1,0,306.774208
2497,1,1,365.923771
2498,1,0,137.269467
2499,1,0,150.118727
2500,1,1,129.776352
2501,1,0,237.895751
2502,0,,
2503,1,1,138.728259
2504,0,,
2505,1,0,190.278149
2506,0,,
2507,0,,
2508,0,,
2509,1,1,163.540687
2510,0,,
2511,0,,
2512,1,0,165.079513
2513,1,0,165.983551
2514,2,0,159.998925
2515,0,,
2516,1,0,142.808876
2517,1,0,153.07746
2518,1,1,155.852028
2519,0,,
2520,1,1,166.784818
2521,0,,
2522,0,,
2523,1,0,295.805933
2524,0,,
2525,0,,
2526,1,1,167.897119
2527,0,,
2528,0,,
2529,1,1,162.802792
2530,0,,
2531,1,0,255.676171
2532,2,0,167.445863
2533,1,1,139.220485
2534,0,,
2535,0,,
2536,1,0,173.51363
2537,0,,
2538,1,1,174.103539
2539,0,,
2540,1,1,151.75945
2541,0,,
2542,1,0,165.711534
2543,0,,
2544,0,,
2545,0,,
2546,0,,
2547,0,,
2548,0,,
2549,1,1,135.546921
2550,0,,
2551,1,0,161.867829
2552,1,1,135.348231
2553,0,,
2554,1,1,142.807775
2555,0,,
2556,0,,
2557,1,1,159.114377
2558,0,,
2559,2,1,169.93108
2560,1,1,170.024354
2561,1,1,165.834161
2562,1,1,171.149588
2563,0,,
2564,1,1,143.349719
2565,2,1,172.888628
2566,0,,
2567,0,,
2568,1,0,270.669355
2569,1,1,173.401449
2570,1,1,161.275612
2571,0,,
2572,1,0,155.695485
2573,0,,
2574,0,,
2575,0,,
2576,0,,
2577,0,,
2578,1,1,238.503095
2579,0,,
2580,0,,
2581,2,1,144.616668
2582,0,,
2583,0,,
2584,0,,
2585,1,0,199.519791
2586,0,,
2587,2,0,173.552999
2588,1,0,173.525738
2589,1,1,174.83226
2590,0,,
2591,0,,
2592,0,,
2593,0,,
2594,1,0,206.670076
2595,0,,
2596,1,1,168.546743
2597,0,,
2598,1,0,145.479088
2599,1,0,162.769948
2600,0,,
2601,1,1,168.288496
2602,1,1,153.441529
2603,0,,
2604,0,,
2605,0,,
2606,0,,
2607,2,1,169.319802
2608,0,,
2609,2,0,173.888051
2610,0,,
2611,0,,
2612,0,,
2613,1,1,148.346585
2614,1,1,171.189875
2615,0,,
2616,1,0,143.484383
2617,1,1,141.569548
2618,1,1,160.481321
2619,1,1,176.364558
2620,2,0,177.795997
2621,0,,
2622,0,,
2623,0,,
2624,0,,
2625,1,0,175.208349
2626,0,,
2627,0,,
2628,0,,
2629,1,1,171.933681
2630,0,,
2631,1,1,208.919176
2632,0,,
2633,1,1,163.228066
2634,0,,
2635,0,,
2636,0,,
2637,1,1,286.133486
2638,0,,
2639,1,0,137.867329
2640,2,1,173.85287
2641,0,,
2642,1,1,158.869211
2643,1,1,208.272127
2644,2,1,148.420086
2645,0,,
2646,0,,
2647,0,,
2648,1,0,167.509668
2649,1,0,135.173407
2650,0,,
2651,0,,
2652,1,0,168.075189
2653,1,1,148.647578
2654,1,1,180.119491
2655,0,,
2656,1,0,240.50087
2657,0,,
2658,1,1,146.239744
2659,0,,
2660,0,,
2661,0,,
2662,1,0,183.931214
2663,0,,
2664,0,,
2665,0,,
2666,0,,
2667,0,,
2668,0,,
2669,0,,
2670,0,,
2671,0,,
2672,0,,
2673,0,,
2674,0,,
2675,0,,
2676,0,,
2677,2,0,140.287469
2678,0,,
2679,1,0,187.699598
2680,0,,
2681,0,,
2682,1,0,154.522716
2683,0,,
2684,1,1,188.188299
2685,0,,
2686,0,,
2687,1,0,168.650038
2688,0,,
2689,0,,
2690,0,,
2691,0,,
2692,0,,
2693,0,,
2694,0,,
2695,0,,
2696,0,,
2697,0,,
2698,0,,
2699,1,1,176.554761
2700,0,,
2701,2,1,176.816059
2702,1,0,181.623702
2703,0,,
2704,1,1,156.470262
2705,0,,
2706,0,,
2707,0,,
2708,1,1,184.55752
2709,0,,
2710,0,,
2711,0,,
2712,0,,
2713,0,,
2714,1,1,171.771015
2715,0,,
2716,1,1,180.799796
2717,0,,
2718,0,,
2719,0,,
2720,1,0,143.68754
2721,1,0,165.33488
2722,0,,
2723,1,1,175.487559
2724,0,,
2725,0,,
2726,0,,
2727,1,1,153.390368
2728,0,,
2729,1,1,168.584056
2730,0,,
2731,1,1,276.646617
2732,0,,
2733,0,,
2734,0,,
2735,1,1,226.474112
2736,2,0,171.320402
2737,1,0,173.361873
2738,0,,
2739,1,0,150.80764
2740,1,0,161.89453
2741,0,,
2742,0,,
2743,0,,
2744,0,,
2745,1,0,157.397144
2746,0,,
2747,0,,
2748,0,,
2749,0,,
2750,0,,
2751,1,1,126.02309
2752,1,1,154.466335
2753,1,0,261.77046
2754,0,,
2755,1,0,142.64939
2756,0,,
2757,0,,
2758,1,1,141.260354
2759,0,,
2760,0,,
2761,1,0,141.619168
2762,1,0,168.123943
2763,1,1,172.560057
2764,0,,
2765,1,1,174.237208
2766,0,,
2767,1,0,173.16395
2768,0,,
2769,1,1,161.519117
2770,0,,
2771,0,,
2772,1,0,208.812395
2773,1,1,144.761319
2774,0,,
2775,0,,
2776,0,,
2777,1,0,176.609631
2778,0,,
2779,0,,
2780,0,,
2781,0,,
2782,0,,
2783,0,,
2784,0,,
2785,0,,
2786,1,0,162.512821
2787,0,,
2788,1,0,168.278663
2789,0,,
2790,1,0,164.45491
2791,0,,
2792,0,,
2793,1,0,168.969089
2794,1,1,183.95402
2795,0,,
2796,1,1,149.639417
2797,1,0,138.065701
2798,0,,
2799,0,,
2800,0,,
2801,1,1,173.126604
2802,1,1,156.531098
2803,0,,
2804,0,,
2805,0,,
2806,0,,
2807,0,,
2808,0,,
2809,1,1,141.66556
2810,0,,
2811,0,,
2812,1,0,197.094425
2813,0,,
2814,0,,
2815,0,,
2816,1,0,151.88432
2817,0,,
2818,0,,
2819,0,,
2820,1,0,143.221603
2821,1,0,168.799665
2822,1,0,175.8427
2823,1,1,145.0708
2824,0,,
2825,0,,
2826,1,1,162.682811
2827,0,,
2828,1,1,162.247482
2829,0,,
2830,0,,
2831,1,1,150.721536
2832,0,,
2833,0,,
2834,1,0,149.573356
2835,0,,
2836,1,0,202.424077
2837,0,,
2838,0,,
2839,0,,
2840,0,,
2841,0,,
2842,1,0,145.112814
2843,0,,
2844,0,,
2845,0,,
2846,0,,
2847,0,,
2848,1,0,167.475123
2849,0,,
2850,1,0,166.200401
2851,2,1,175.186116
2852,0,,
2853,2,1,137.926491
2854,1,0,159.381909
2855,0,,
2856,1,1,160.588459
2857,0,,
2858,0,,
2859,0,,
2860,0,,
2861,0,,
2862,2,0,142.752851
2863,1,0,155.275147
2864,1,0,154.084011
2865,0,,
2866,0,,
2867,1,0,186.802931
2868,2,0,159.77353
2869,0,,
2870,0,,
2871,1,0,175.85536
2872,1,0,162.793231
2873,0,,
2874,1,0,152.433847
2875,0,,
2876,0,,
2877,1,0,150.610783
2878,1,0,168.369249
2879,1,1,144.463296
2880,1,0,151.491934
2881,1,0,174.84511
2882,0,,
2883,1,1,172.759657
2884,1,1,172.321973
2885,1,1,175.790901
2886,0,,
2887,0,,
2888,1,1,153.916653
2889,1,1,171.890688
2890,0,,
2891,0,,
2892,0,,
2893,0,,
2894,0,,
2895,0,,
2896,0,,
2897,1,0,172.938341
2898,0,,
2899,0,,
2900,2,0,144.379119
2901,0,,
2902,1,1,184.409281
2903,0,,
2904,0,,
2905,0,,
2906,0,,
2907,1,1,169.575877
2908,0,,
2909,0,,
2910,0,,
2911,0,,
2912,0,,
2913,1,0,164.174792
2914,1,0,161.468931
2915,0,,
2916,0,,
2917,0,,
2918,0,,
2919,1,1,147.748174
2920,0,,
2921,1,1,230.373286
2922,1,0,171.672413
2923,0,,
2924,0,,
2925,0,,
2926,0,,
2927,1,1,167.258371
2928,0,,
2929,2,0,166.584459
2930,0,,
2931,0,,
2932,1,1,171.325519
2933,0,,
2934,0,,
2935,0,,
2936,1,1,167.506338
2937,1,0,159.831579
2938,0,,
2939,0,,
2940,1,1,149.355825
2941,0,,
2942,0,,
2943,0,,
2944,0,,
2945,0,,
2946,0,,
2947,0,,
2948,1,0,144.708174
2949,0,,
2950,0,,
2951,0,,
2952,1,0,174.21203
2953,0,,
2954,1,1,167.48939
2955,0,,
2956,2,0,180.695137
2957,0,,
2958,1,0,225.709825
2959,0,,
2960,0,,
2961,0,,
2962,1,0,247.645936
2963,0,,
2964,1,1,158.86284
2965,0,,
2966,0,,
2967,1,1,135.997016
2968,1,0,171.48471
2969,1,1,252.372473
2970,0,,
2971,0,,
2972,0,,
2973,1,1,169.524315
2974,0,,
2975,2,1,257.334703
2976,0,,
2977,0,,
2978,2,0,154.590765
2979,0,,
2980,1,0,127.63485
2981,0,,
2982,1,0,178.729309
2983,0,,
2984,0,,
2985,1,0,169.273593
2986,0,,
2987,0,,
2988,0,,
2989,0,,
2990,0,,
2991,1,1,170.718965
2992,0,,
2993,1,0,225.458018
2994,0,,
2995,0,,
2996,0,,
2997,0,,
2998,1,0,149.120132
2999,1,0,173.312672
3000,0,,
3001,0,,
3002,0,,
3003,1,0,133.310611
3004,1,0,260.763401
3005,0,,
3006,0,,
3007,0,,
3008,0,,
3009,2,0,149.459521
3010,0,,
3011,0,,
3012,0,,
3013,1,0,174.926692
3014,0,,
3015,0,,
3016,0,,
3017,1,1,138.043116
3018,0,,
3019,1,0,149.546672
3020,1,0,174.557907
3021,0,,
3022,0,,
3023,1,1,191.541249
3024,1,0,183.221511
3025,2,1,174.088732
3026,0,,
3027,2,1,173.273918
3028,1,1,145.180436
3029,0,,
3030,1,1,145.946518
3031,1,0,170.271785
3032,0,,
3033,0,,
3034,0,,
3035,1,0,148.109331
3036,0,,
3037,0,,
3038,1,1,186.63999
3039,1,0,190.123154
3040,0,,
3041,0,,
3042,0,,
3043,0,,
3044,1,1,250.582969
3045,0,,
3046,0,,
3047,1,0,164.718092
3048,0,,
3049,1,1,169.261722
3050,1,0,160.018997
3051,1,1,163.944993
3052,0,,
3053,0,,
3054,1,0,142.390658
3055,1,1,170.942893
3056,1,1,154.705216
3057,0,,
3058,0,,
3059,0,,
3060,0,,
3061,1,1,181.40118
3062,1,1,182.340723
3063,1,1,182.221295
3064,1,1,162.995479
3065,0,,
3066,0,,
3067,1,1,167.06281
3068,1,0,170.60852
3069,0,,
3070,0,,
3071,0,,
3072,2,0,176.341082
3073,0,,
3074,0,,
3075,0,,
3076,1,1,170.714054
3077,1,0,223.014537
3078,1,1,144.830777
3079,0,,
3080,0,,
3081,0,,
3082,0,,
3083,0,,
3084,1,1,163.245171
3085,1,1,176.065942
3086,0,,
3087,2,0,160.878883
3088,0,,
3089,0,,
3090,1,1,177.039158
3091,0,,
3092,2,1,140.681378
3093,0,,
3094,0,,
3095,1,0,170.671739
3096,1,0,174.970843
3097,1,1,165.342221
3098,2,1,198.965413
3099,1,0,209.86846
3100,0,,
3101,0,,
3102,0,,
3103,0,,
3104,0,,
3105,1,0,153.554018
3106,0,,
3107,0,,
3108,1,0,174.667525
3109,0,,
3110,0,,
3111,1,1,148.926026
3112,1,1,165.148005
3113,0,,
3114,1,1,152.502329
3115,0,,
3116,1,0,170.815654
3117,2,1,171.607517
3118,1,1,141.698633
3119,1,1,160.541513
3120,0,,
3121,1,0,131.716959
3122,0,,
3123,0,,
3124,0,,
3125,2,0,155.756378
3126,0,,
3127,0,,
3128,0,,
3129,0,,
3130,1,1,150.628844
3131,0,,
3132,0,,
3133,0,,
3134,0,,
3135,1,0,159.9336
3136,1,1,152.588562
3137,0,,
3138,0,,
3139,0,,
3140,1,1,159.288412
3141,0,,
3142,0,,
3143,0,,
3144,0,,
3145,0,,
3146,0,,
3147,1,0,166.772556
3148,1,0,150.004341
3149,0,,
3150,0,,
3151,0,,
3152,2,0,140.674951
3153,0,,
3154,0,,
3155,0,,
3156,1,0,174.934593
3157,1,1,157.650726
3158,1,1,160.947931
3159,1,0,176.312891
3160,1,1,154.085809
3161,0,,
3162,0,,
3163,0,,
3164,0,,
3165,1,1,165.733381
3166,1,0,207.465746
3167,0,,
3168,0,,
3169,0,,
3170,0,,
3171,2,0,150.64264
3172,0,,
3173,0,,
3174,0,,
3175,1,0,162.219754
3176,0,,
3177,1,1,177.5037
3178,1,1,169.851427
3179,0,,
3180,0,,
3181,0,,
3182,0,,
3183,1,0,184.306136
