event_index,n_gen_triplet,leading_truth_triplet_slot,leading_truth_triplet_mass
392,0,,
393,1,0,167.55594
394,1,0,164.646099
395,1,0,158.38894
396,1,1,147.227427
397,0,,
398,0,,
399,0,,
400,1,1,165.221543
401,1,0,156.588801
402,1,1,163.976144
403,1,1,163.557618
404,0,,
405,0,,
406,0,,
407,0,,
408,1,1,153.835758
409,1,1,180.671026
410,1,0,148.12173
411,1,1,131.675793
412,0,,
413,1,1,136.659256
414,0,,
415,2,1,165.715904
416,1,0,149.630072
417,1,1,164.884099
418,0,,
419,0,,
420,1,0,155.080236
421,1,1,210.336474
422,0,,
423,0,,
424,0,,
425,0,,
426,1,0,182.5011
427,1,1,144.108008
428,1,1,177.362504
429,0,,
430,1,0,145.851813
431,0,,
432,0,,
433,2,0,155.794392
434,1,1,155.386218
435,1,0,156.238985
436,0,,
437,1,1,152.010307
438,1,0,140.18939
439,1,0,173.230721
440,0,,
441,0,,
442,0,,
443,1,0,134.088382
444,2,0,180.097348
445,2,0,181.39866
446,0,,
447,0,,
448,0,,
449,0,,
450,1,0,152.116384
451,0,,
452,0,,
453,0,,
454,0,,
455,0,,
456,0,,
457,1,0,155.032392
458,1,0,147.398151
459,1,1,157.514762
460,1,0,166.449089
461,1,1,170.935987
462,0,,
463,1,1,166.446332
464,0,,
465,1,1,139.830293
466,2,0,159.668149
467,0,,
468,1,0,174.390076
469,0,,
470,1,0,212.52768
471,0,,
472,0,,
473,0,,
474,0,,
475,0,,
476,1,0,255.57184
477,1,0,158.876307
478,1,0,155.93776
479,1,0,121.509094
480,0,,
481,0,,
482,0,,
483,0,,
484,1,1,145.529233
485,0,,
486,0,,
487,0,,
488,0,,
489,1,0,171.593697
490,0,,
491,1,0,112.202435
492,0,,
493,0,,
494,0,,
495,0,,
496,1,0,189.500545
497,0,,
498,0,,
499,0,,
500,1,0,158.780192
501,0,,
502,1,1,158.100612
503,0,,
504,1,0,238.976525
505,0,,
506,0,,
507,0,,
508,0,,
509,0,,
510,1,0,165.901732
511,0,,
512,1,1,178.470419
513,0,,
514,2,1,163.092878
515,0,,
516,0,,
517,0,,
518,0,,
519,0,,
520,1,1,143.007705
521,1,1,167.323739
522,0,,
523,0,,
524,0,,
525,0,,
526,1,1,141.809608
527,0,,
528,0,,
529,0,,
530,0,,
531,0,,
532,0,,
533,1,1,178.235874
534,0,,
535,1,1,168.576556
536,0,,
537,0,,
538,1,0,152.634881
539,1,1,158.688973
540,1,1,160.860504
541,0,,
542,0,,
543,1,0,139.779865
544,1,1,210.330212
545,0,,
546,1,1,165.890312
547,1,1,163.030346
548,1,0,179.971513
549,1,0,242.392147
550,0,,
551,0,,
552,0,,
553,1,1,145.824446
554,0,,
555,0,,
556,1,1,154.162378
557,1,1,162.229756
558,1,1,140.898466
559,1,1,173.064264
560,0,,
561,0,,
562,1,0,154.178179
563,0,,
564,0,,
565,0,,
566,2,1,155.962614
567,1,1,139.089702
568,1,0,163.788924
569,0,,
570,1,1,168.465724
571,0,,
572,1,1,180.001727
573,0,,
574,0,,
575,1,0,154.101641
576,1,1,126.150538
577,0,,
578,0,,
579,0,,
580,1,0,157.248976
581,1,0,164.908402
582,0,,
583,0,,
584,0,,
585,0,,
586,0,,
587,0,,
588,1,1,186.087033
589,0,,
590,1,0,125.300991
591,0,,
592,2,1,138.44157
593,1,0,166.94894
594,0,,
595,0,,
596,0,,
597,2,1,165.583434
598,1,1,145.458558
599,1,1,154.362429
600,0,,
601,0,,
602,0,,
603,1,0,146.462078
604,0,,
605,1,0,146.824775
606,0,,
607,0,,
608,1,0,125.914944
609,0,,
610,1,1,146.073887
611,0,,
612,2,1,168.759184
613,0,,
614,0,,
615,2,0,147.375247
616,0,,
617,0,,
618,0,,
619,0,,
620,0,,
621,0,,
622,2,1,150.26874
623,0,,
624,0,,
625,0,,
626,0,,
627,0,,
628,0,,
629,0,,
630,1,0,175.094199
631,0,,
632,0,,
633,0,,
634,0,,
635,1,0,160.995702
636,0,,
637,1,0,155.963961
638,0,,
639,0,,
640,0,,
641,0,,
642,1,1,136.509722
643,0,,
644,1,1,163.245576
645,0,,
646,0,,
647,2,0,174.713915
648,2,1,210.588369
649,1,0,170.393252
650,1,1,156.521511
651,1,1,173.601819
652,0,,
653,0,,
654,0,,
655,1,0,147.273828
656,1,0,189.1352
657,0,,
658,0,,
659,0,,
660,1,1,164.83716
661,2,0,171.464734
662,1,1,168.926741
663,0,,
664,0,,
665,1,0,164.001685
666,1,1,169.481452
667,1,1,165.266608
668,0,,
669,2,1,171.595413
670,1,0,172.948458
671,0,,
672,1,0,163.175125
