event_index,n_gen_triplet,leading_truth_triplet_slot,leading_truth_triplet_pt,triplet_jet_0_index,triplet_jet_0_pt,triplet_jet_0_eta,triplet_jet_0_phi,triplet_jet_0_m,triplet_jet_0_px,triplet_jet_0_py,triplet_jet_0_pz,triplet_jet_0_E,triplet_jet_1_index,triplet_jet_1_pt,triplet_jet_1_eta,triplet_jet_1_phi,triplet_jet_1_m,triplet_jet_1_px,triplet_jet_1_py,triplet_jet_1_pz,triplet_jet_1_E,triplet_jet_2_index,triplet_jet_2_pt,triplet_jet_2_eta,triplet_jet_2_phi,triplet_jet_2_m,triplet_jet_2_px,triplet_jet_2_py,triplet_jet_2_pz,triplet_jet_2_E
30,1,1,38.5860988,0,40.1718369,1.02557039,-1.61063313,8.19115353,-1.59989451,-40.1399653,48.8106655,63.7444314,4,29.3801079,1.14989519,1.41759121,6.69562054,4.48359491,29.0359797,41.7372632,51.4783567,1,39.4757347,0.779255629,-3.11135173,10.4041777,-39.4576855,-1.19360079,33.9708767,53.1093307
31,2,0,81.1722868,5,25.5883236,-1.56654704,0.986090004,5.70612669,14.1235908,21.3374433,-58.6140833,64.2100689,4,32.963562,0.0840362683,0.765993357,5.16518593,23.7566435,22.8520964,2.77339638,33.4808497,0,71.9995728,0.501942158,-0.947490931,8.94016552,42.027747,-58.4603024,37.6763913,81.7519143
32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,0,133.028237,4,29.6459427,1.1859374,-0.723594248,5.00302553,22.2175851,-19.6280623,43.9989445,53.2899549,3,35.6315651,0.915308595,-2.96107316,10.0737734,-35.0525719,-6.39731434,37.3624185,52.6026583,0,122.945961,1.77737749,2.9295814,19.2961521,-120.193161,25.8710934,353.177314,374.462636
34,1,0,103.218294,0,107.562119,0.480249017,-1.84285414,6.73421001,-28.9034614,-103.605981,53.6652988,120.394864,2,46.0889015,0.160859495,2.31607938,1.60074604,-31.2565644,33.8705481,7.44585197,46.7139159,3,43.8236198,-0.600484252,-0.742944896,8.25097179,32.2752043,-29.6449126,-27.9256254,52.6158602
35,1,1,222.162325,4,38.2332954,-0.730861783,-1.47785604,8.70222855,3.54829998,-38.0682866,-30.4982368,49.6755081,2,50.1570892,-1.28066993,-0.458894372,4.69309759,44.9679768,-22.2174406,-83.2908354,97.3402385,1,182.566895,-1.150666,0.314480335,12.8365278,173.613312,56.4720178,-259.598349,317.626746
36,1,1,52.4756054,2,69.1556931,1.28815567,-0.297339708,7.43676615,66.1210913,-20.2610752,115.846635,135.123122,3,48.4920464,0.458999395,-2.33936596,12.2265463,-33.7071924,-34.8612068,23.0476421,55.0650597,4,31.6306858,1.95135975,3.05757833,4.17956686,-31.5191203,2.65430572,109.065303,113.636303
37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,0,100.98086,0,136.538345,-1.10547483,2.85783172,19.9178734,-131.07808,38.2263886,-183.617093,229.683866,3,43.4476166,-1.0763427,0.714619458,8.1163702,32.817839,28.4725276,-56.3317867,71.6019626,2,50.8534737,-0.180832401,-1.59963441,10.8172131,-1.46631339,-50.8323294,-9.24615625,52.8070004
39,1,1,240.62945,1,119.819855,-0.314573526,2.5163815,12.1171017,-97.154678,70.1267862,-38.3168846,126.379608,2,109.764069,-0.490879536,-2.59708428,15.0800457,-93.8902148,-56.8575265,-56.0710386,124.175359,5,49.6279907,-0.901079297,2.91228819,10.2584772,-48.3289645,11.2804547,-51.0207531,71.9116894
40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
