event_index,n_gen_triplet,leading_truth_triplet_slot,m_jet1jet2,m_jet2jet3
277,0,,,
278,1,1,140.426963,81.750678
279,1,0,106.430108,97.9543875
280,2,0,163.312041,44.2846762
281,0,,,
282,1,0,82.2322466,74.1655616
283,0,,,
284,0,,,
285,0,,,
286,0,,,
287,1,0,74.7859317,91.8076267
288,1,1,83.0631517,56.7461997
289,0,,,
290,0,,,
291,0,,,
292,0,,,
293,0,,,
294,0,,,
295,0,,,
296,0,,,
297,0,,,
298,1,0,80.9805933,72.2448103
299,0,,,
300,0,,,
301,0,,,
302,1,1,89.7233714,77.9670107
303,1,1,80.5591484,99.5005834
304,0,,,
305,1,0,80.4568227,158.75523
306,0,,,
307,1,1,113.051906,100.272911
308,0,,,
309,0,,,
310,0,,,
311,0,,,
312,1,0,125.527117,75.3286079
313,0,,,
314,1,0,113.254572,58.6972628
315,0,,,
316,1,0,112.811341,36.9569543
317,0,,,
318,0,,,
319,0,,,
320,1,1,119.296869,76.2615621
321,1,1,84.4021256,104.720263
322,1,0,87.1859216,77.6515543
323,1,1,79.4482195,114.862071
324,1,0,39.3696923,103.311396
325,0,,,
326,0,,,
327,0,,,
328,1,1,80.4422572,86.5521996
329,0,,,
330,0,,,
331,1,1,89.474081,108.035382
332,0,,,
333,0,,,
334,1,1,98.1813936,70.3584651
335,1,0,124.428724,79.2050994
336,1,1,106.451961,75.2944164
337,0,,,
338,0,,,
339,2,1,159.750104,119.646243
340,1,1,77.962461,120.791644
341,0,,,
342,0,,,
343,1,1,112.310033,69.9635248
344,1,1,357.139571,57.0451678
345,0,,,
346,2,1,59.6475206,73.4456447
347,0,,,
348,1,0,75.9522973,99.2853772
349,0,,,
350,0,,,
351,0,,,
352,0,,,
353,1,1,116.919618,85.2526787
354,0,,,
355,0,,,
356,0,,,
357,0,,,
358,0,,,
359,0,,,
360,1,0,132.747297,79.5590391
361,0,,,
362,1,0,77.2245454,87.6648157
363,1,0,66.1524988,107.217981
364,0,,,
365,0,,,
366,1,1,63.8690699,63.3066183
367,1,0,95.3259629,69.3600735
368,0,,,
369,0,,,
370,0,,,
371,0,,,
372,0,,,
373,0,,,
374,0,,,
375,1,0,104.83902,80.8432639
376,0,,,
377,0,,,
378,0,,,
379,0,,,
380,1,0,133.604982,90.6037954
381,0,,,
382,0,,,
383,1,1,229.32628,307.767194
384,0,,,
385,0,,,
386,0,,,
387,0,,,
388,0,,,
389,1,0,94.6073052,114.843593
390,0,,,
391,2,1,85.0714872,50.7027149
392,0,,,
393,1,0,80.0011897,115.458637
394,1,0,78.4972003,93.5369021
395,1,0,130.230143,55.4315332
396,1,1,79.2326175,73.8282181
397,0,,,
398,0,,,
399,0,,,
400,1,1,104.163028,71.0891313
401,1,0,80.2150962,96.4035999
402,1,1,103.015655,32.8651325
403,1,1,91.0726522,54.1763779
404,0,,,
405,0,,,
406,0,,,
407,0,,,
408,1,1,116.055238,77.218156
409,1,1,82.3464112,71.4858572
410,1,0,85.490054,101.581039
411,1,1,108.172364,32.5179439
412,0,,,
413,1,1,71.315646,73.7586546
414,0,,,
415,2,1,108.037428,73.1581648
416,1,0,107.153955,77.1175002
417,1,1,127.681461,81.3273264
418,0,,,
419,0,,,
420,1,0,74.9166228,114.170757
421,1,1,162.686712,70.8119317
422,0,,,
423,0,,,
424,0,,,
425,0,,,
426,1,0,151.194221,73.9440103
427,1,1,82.2413118,65.9350321
428,1,1,94.0128276,104.940496
429,0,,,
430,1,0,66.2919767,76.6611253
431,0,,,
432,0,,,
433,2,0,112.895773,68.4363081
434,1,1,127.929227,64.1126112
435,1,0,106.45067,65.3204526
436,0,,,
437,1,1,106.867067,84.7258163
438,1,0,48.045325,62.9365929
439,1,0,88.5628236,81.759957
440,0,,,
441,0,,,
442,0,,,
443,1,0,86.2454409,56.0759914
444,2,0,120.813547,106.067398
445,2,0,113.20498,70.2708167
446,0,,,
447,0,,,
448,0,,,
449,0,,,
450,1,0,51.1304424,76.1930464
451,0,,,
452,0,,,
453,0,,,
454,0,,,
455,0,,,
456,0,,,
457,1,0,75.0351773,95.2889454
458,1,0,63.2327841,109.579685
