particle1_pt,particle1_eta,particle1_phi,particle2_pt,particle2_eta,particle2_phi,particle3_pt,particle3_eta,particle3_phi
29.592577,1.32311022,0.624923825,50.8554306,-0.891223311,-0.144050747,93.0699387,-0.015292773,-1.36452568
,,,,,,,,
76.7962036,-1.12636125,-1.74585581,38.4587784,0.142945051,0.67317909,78.3577271,-0.417363554,-1.05104816
,,,,,,,,
74.0860748,1.75025272,0.294961333,119.447693,2.16272569,1.88763535,59.470314,1.33155072,1.84235728
94.2770004,-2.08481288,-2.20645189,44.1592903,-1.36143076,-1.93243182,178.633911,0.0502598584,0.969859064
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
111.558411,0.322113603,-2.71428037,29.6622696,1.19171345,2.85623717,36.3470459,0.133771047,0.575848758
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
87.5409393,0.0115888547,-2.93618155,127.705292,0.853793621,-0.511665165,106.629517,-0.138041481,2.64436722
,,,,,,,,
50.6103249,-2.46030498,-2.26528621,66.318428,-2.33052301,2.07003808,29.8671093,-2.0619626,-0.0510656349
,,,,,,,,
,,,,,,,,
129.962494,-0.62852937,-2.79076362,43.7718086,-0.497124195,-0.622125089,37.5692596,-0.978488624,2.86376643
89.7303925,-2.01677537,2.26505041,111.46534,-1.65942836,-1.10937452,53.8242493,-1.74042892,-2.15273356
47.4814453,1.10702419,-0.578113079,119.120224,0.18949075,0.717883348,66.3424225,0.707075357,1.41984892
45.727993,-1.4580003,-1.60262632,35.1114426,-0.322587997,1.54806125,47.9432068,-0.025185952,-0.366899669
85.0973282,1.29127538,-3.10651064,169.276505,0.829523146,-2.55358529,42.6408997,0.503259957,-1.91081369
35.8456154,1.22258973,-0.442516804,44.3450279,1.23503304,2.39925933,86.7136917,0.178175151,1.83070016
,,,,,,,,
53.7727585,-0.355630785,-0.282625467,37.5234108,0.748522401,-1.20532548,41.6946068,1.86833334,0.53275454
,,,,,,,,
,,,,,,,,
126.993523,-1.28878748,-2.69494748,32.3510437,-1.73758376,1.88538146,57.3818817,-0.515672684,2.5473907
66.154007,-0.372943223,-2.75454569,127.48568,-0.163632035,2.45236897,69.4281693,-0.0825819001,1.7055397
70.3719406,0.398190886,-2.15524912,74.1230011,-0.123706982,-3.03749871,76.6954193,-0.295060426,2.23234344
104.109215,-0.898220479,-2.90056825,126.755096,-1.07610798,2.40062642,111.94722,-1.28772962,1.86667597
,,,,,,,,
,,,,,,,,
37.9252205,1.97450054,-2.77352333,103.727798,2.08078241,0.61459142,37.2757454,2.3191216,1.78005481
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
50.3687439,-0.344598919,1.10200584,50.2662926,0.371383607,-1.69200683,52.7126884,0.335216761,2.93847942
29.2706642,0.0610240549,0.220687062,107.150833,1.62708676,-0.648122668,47.87463,1.22562993,-1.74435401
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
136.390839,1.6163274,-0.272692263,69.6736221,2.27468944,0.174534872,38.142437,2.03772569,1.80232501
,,,,,,,,
77.1828079,-1.35254693,2.63939643,29.9321384,-1.44014764,-0.138202205,41.3590965,-0.0656784028,3.07496238
,,,,,,,,
49.140892,-1.12999761,-2.06824708,72.4031448,-0.187751248,-0.498020262,166.07254,-0.835119724,-0.755295694
,,,,,,,,
97.6914368,0.392308056,0.131967917,32.9634972,0.979007185,-3.00491285,61.3851624,1.31004441,1.07934141
206.864761,1.57085812,-2.86344004,310.202454,1.54571903,-2.38107085,53.875473,1.0195328,-2.69283819
55.8936501,-0.44506675,2.27940011,40.0333252,0.86589098,-0.696756721,27.2616844,1.17681789,1.33327198
68.4957962,-1.4399128,-2.90137625,37.0486412,0.313137323,3.1341486,34.568428,-0.579870224,1.37863505
,,,,,,,,
51.5094833,-0.652518749,-2.19843245,74.3404465,-1.03198457,-0.768520415,49.2184334,-1.96497583,-1.48921037
